STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00094741,"TETERBORO AIRPORT, NJ US",1/1/2019,0.06,,,,59,39
USW00094741,"TETERBORO AIRPORT, NJ US",1/2/2019,0,,,,47,33
USW00094741,"TETERBORO AIRPORT, NJ US",1/3/2019,0,,,,45,32
USW00094741,"TETERBORO AIRPORT, NJ US",1/4/2019,0,,,,46,30
USW00094741,"TETERBORO AIRPORT, NJ US",1/5/2019,0.59,,,,46,40
USW00094741,"TETERBORO AIRPORT, NJ US",1/6/2019,0,,,,50,31
USW00094741,"TETERBORO AIRPORT, NJ US",1/7/2019,0,,,,34,24
USW00094741,"TETERBORO AIRPORT, NJ US",1/8/2019,0.11,,,,43,33
USW00094741,"TETERBORO AIRPORT, NJ US",1/9/2019,0.06,,,,46,33
USW00094741,"TETERBORO AIRPORT, NJ US",1/10/2019,0,,,,34,28
USW00094741,"TETERBORO AIRPORT, NJ US",1/11/2019,0,,,,32,21
USW00094741,"TETERBORO AIRPORT, NJ US",1/12/2019,0,,,,36,19
USW00094741,"TETERBORO AIRPORT, NJ US",1/13/2019,0,,,,37,24
USW00094741,"TETERBORO AIRPORT, NJ US",1/14/2019,0,,,,34,19
USW00094741,"TETERBORO AIRPORT, NJ US",1/15/2019,0,,,,37,20
USW00094741,"TETERBORO AIRPORT, NJ US",1/16/2019,0,,,,45,23
USW00094741,"TETERBORO AIRPORT, NJ US",1/17/2019,0,,,,32,24
USW00094741,"TETERBORO AIRPORT, NJ US",1/18/2019,0.03,,,,42,27
USW00094741,"TETERBORO AIRPORT, NJ US",1/19/2019,0.36,,,,37,27
USW00094741,"TETERBORO AIRPORT, NJ US",1/20/2019,1.11,,,,40,14
USW00094741,"TETERBORO AIRPORT, NJ US",1/21/2019,0,,,,15,4
USW00094741,"TETERBORO AIRPORT, NJ US",1/22/2019,0,,,,33,13
USW00094741,"TETERBORO AIRPORT, NJ US",1/23/2019,0,,,,50,26
USW00094741,"TETERBORO AIRPORT, NJ US",1/24/2019,1.42,,,,58,35
USW00094741,"TETERBORO AIRPORT, NJ US",1/25/2019,0,,,,40,27
USW00094741,"TETERBORO AIRPORT, NJ US",1/26/2019,0,,,,36,21
USW00094741,"TETERBORO AIRPORT, NJ US",1/27/2019,0,,,,53,25
