,date,Current_time,dayofweek,precipitation,temperature,holiday,station_name,bikein,bikeout,bikeloss
0,2022-09-01,1,3.0,0.0,12.0,0.0,0,1,0,1
0,2022-09-01,2,3.0,0.0,12.0,0.0,0,10,5,5
0,2022-09-01,3,3.0,0.0,12.0,0.0,0,3,1,2
0,2022-09-01,4,3.0,0.0,12.0,0.0,0,18,27,-9
0,2022-09-01,1,3.0,0.0,12.0,0.0,1,0,0,0
0,2022-09-01,2,3.0,0.0,12.0,0.0,1,15,3,12
0,2022-09-01,3,3.0,0.0,12.0,0.0,1,1,4,-3
0,2022-09-01,4,3.0,0.0,12.0,0.0,1,17,23,-6
0,2022-09-01,1,3.0,0.0,12.0,0.0,2,0,2,-2
0,2022-09-01,2,3.0,0.0,12.0,0.0,2,7,5,2
0,2022-09-01,3,3.0,0.0,12.0,0.0,2,4,2,2
0,2022-09-01,4,3.0,0.0,12.0,0.0,2,13,15,-2
0,2022-09-01,1,3.0,0.0,12.0,0.0,3,0,1,-1
0,2022-09-01,2,3.0,0.0,12.0,0.0,3,13,5,8
0,2022-09-01,3,3.0,0.0,12.0,0.0,3,8,5,3
0,2022-09-01,4,3.0,0.0,12.0,0.0,3,16,18,-2
0,2022-09-01,1,3.0,0.0,12.0,0.0,4,0,0,0
0,2022-09-01,2,3.0,0.0,12.0,0.0,4,2,2,0
0,2022-09-01,3,3.0,0.0,12.0,0.0,4,2,0,2
0,2022-09-01,4,3.0,0.0,12.0,0.0,4,2,3,-1
0,2022-09-01,1,3.0,0.0,12.0,0.0,5,1,0,1
0,2022-09-01,2,3.0,0.0,12.0,0.0,5,4,25,-21
0,2022-09-01,3,3.0,0.0,12.0,0.0,5,4,3,1
0,2022-09-01,4,3.0,0.0,12.0,0.0,5,38,26,12
0,2022-09-01,1,3.0,0.0,12.0,0.0,6,4,3,1
0,2022-09-01,2,3.0,0.0,12.0,0.0,6,10,6,4
0,2022-09-01,3,3.0,0.0,12.0,0.0,6,7,5,2
0,2022-09-01,4,3.0,0.0,12.0,0.0,6,8,15,-7
0,2022-09-01,1,3.0,0.0,12.0,0.0,7,3,2,1
0,2022-09-01,2,3.0,0.0,12.0,0.0,7,28,7,21
0,2022-09-01,3,3.0,0.0,12.0,0.0,7,15,17,-2
0,2022-09-01,4,3.0,0.0,12.0,0.0,7,34,54,-20
0,2022-09-01,1,3.0,0.0,12.0,0.0,8,0,0,0
0,2022-09-01,2,3.0,0.0,12.0,0.0,8,3,3,0
0,2022-09-01,3,3.0,0.0,12.0,0.0,8,5,2,3
0,2022-09-01,4,3.0,0.0,12.0,0.0,8,2,4,-2
0,2022-09-01,1,3.0,0.0,12.0,0.0,9,0,1,-1
0,2022-09-01,2,3.0,0.0,12.0,0.0,9,0,5,-5
0,2022-09-01,3,3.0,0.0,12.0,0.0,9,0,2,-2
0,2022-09-01,4,3.0,0.0,12.0,0.0,9,0,5,-5
0,2022-09-01,1,3.0,0.0,12.0,0.0,10,0,0,0
0,2022-09-01,2,3.0,0.0,12.0,0.0,10,1,2,-1
0,2022-09-01,3,3.0,0.0,12.0,0.0,10,1,1,0
0,2022-09-01,4,3.0,0.0,12.0,0.0,10,2,2,0
0,2022-09-01,1,3.0,0.0,12.0,0.0,11,0,0,0
0,2022-09-01,2,3.0,0.0,12.0,0.0,11,11,20,-9
0,2022-09-01,3,3.0,0.0,12.0,0.0,11,18,13,5
0,2022-09-01,4,3.0,0.0,12.0,0.0,11,20,16,4
0,2022-09-01,1,3.0,0.0,12.0,0.0,12,2,1,1
0,2022-09-01,2,3.0,0.0,12.0,0.0,12,7,2,5
0,2022-09-01,3,3.0,0.0,12.0,0.0,12,5,0,5
0,2022-09-01,4,3.0,0.0,12.0,0.0,12,6,15,-9
0,2022-09-01,1,3.0,0.0,12.0,0.0,13,6,3,3
0,2022-09-01,2,3.0,0.0,12.0,0.0,13,17,32,-15
0,2022-09-01,3,3.0,0.0,12.0,0.0,13,18,20,-2
0,2022-09-01,4,3.0,0.0,12.0,0.0,13,81,63,18
0,2022-09-01,1,3.0,0.0,12.0,0.0,14,4,5,-1
0,2022-09-01,2,3.0,0.0,12.0,0.0,14,14,14,0
0,2022-09-01,3,3.0,0.0,12.0,0.0,14,22,30,-8
0,2022-09-01,4,3.0,0.0,12.0,0.0,14,39,32,7
0,2022-09-01,1,3.0,0.0,12.0,0.0,15,0,0,0
0,2022-09-01,2,3.0,0.0,12.0,0.0,15,10,14,-4
0,2022-09-01,3,3.0,0.0,12.0,0.0,15,10,11,-1
0,2022-09-01,4,3.0,0.0,12.0,0.0,15,21,16,5
0,2022-09-01,1,3.0,0.0,12.0,0.0,16,4,1,3
0,2022-09-01,2,3.0,0.0,12.0,0.0,16,6,8,-2
0,2022-09-01,3,3.0,0.0,12.0,0.0,16,4,7,-3
0,2022-09-01,4,3.0,0.0,12.0,0.0,16,35,31,4
0,2022-09-01,1,3.0,0.0,12.0,0.0,17,1,1,0
0,2022-09-01,2,3.0,0.0,12.0,0.0,17,16,7,9
0,2022-09-01,3,3.0,0.0,12.0,0.0,17,3,7,-4
0,2022-09-01,4,3.0,0.0,12.0,0.0,17,20,20,0
0,2022-09-01,1,3.0,0.0,12.0,0.0,18,0,1,-1
0,2022-09-01,2,3.0,0.0,12.0,0.0,18,9,6,3
0,2022-09-01,3,3.0,0.0,12.0,0.0,18,7,10,-3
0,2022-09-01,4,3.0,0.0,12.0,0.0,18,31,35,-4
0,2022-09-01,1,3.0,0.0,12.0,0.0,19,2,0,2
0,2022-09-01,2,3.0,0.0,12.0,0.0,19,31,14,17
0,2022-09-01,3,3.0,0.0,12.0,0.0,19,8,14,-6
0,2022-09-01,4,3.0,0.0,12.0,0.0,19,26,40,-14
0,2022-09-01,1,3.0,0.0,12.0,0.0,20,0,0,0
0,2022-09-01,2,3.0,0.0,12.0,0.0,20,0,0,0
0,2022-09-01,3,3.0,0.0,12.0,0.0,20,0,0,0
0,2022-09-01,4,3.0,0.0,12.0,0.0,20,0,0,0
0,2022-09-01,1,3.0,0.0,12.0,0.0,21,2,3,-1
0,2022-09-01,2,3.0,0.0,12.0,0.0,21,28,72,-44
0,2022-09-01,3,3.0,0.0,12.0,0.0,21,25,17,8
0,2022-09-01,4,3.0,0.0,12.0,0.0,21,92,55,37
0,2022-09-01,1,3.0,0.0,12.0,0.0,22,0,2,-2
0,2022-09-01,2,3.0,0.0,12.0,0.0,22,14,4,10
0,2022-09-01,3,3.0,0.0,12.0,0.0,22,4,5,-1
0,2022-09-01,4,3.0,0.0,12.0,0.0,22,21,25,-4
0,2022-09-01,1,3.0,0.0,12.0,0.0,23,0,4,-4
0,2022-09-01,2,3.0,0.0,12.0,0.0,23,16,38,-22
0,2022-09-01,3,3.0,0.0,12.0,0.0,23,25,28,-3
0,2022-09-01,4,3.0,0.0,12.0,0.0,23,93,67,26
0,2022-09-01,1,3.0,0.0,12.0,0.0,24,1,3,-2
0,2022-09-01,2,3.0,0.0,12.0,0.0,24,14,17,-3
0,2022-09-01,3,3.0,0.0,12.0,0.0,24,4,7,-3
0,2022-09-01,4,3.0,0.0,12.0,0.0,24,30,21,9
0,2022-09-01,1,3.0,0.0,12.0,0.0,25,0,0,0
0,2022-09-01,2,3.0,0.0,12.0,0.0,25,4,2,2
0,2022-09-01,3,3.0,0.0,12.0,0.0,25,3,8,-5
0,2022-09-01,4,3.0,0.0,12.0,0.0,25,17,19,-2
0,2022-09-01,1,3.0,0.0,12.0,0.0,26,2,14,-12
0,2022-09-01,2,3.0,0.0,12.0,0.0,26,25,86,-61
0,2022-09-01,3,3.0,0.0,12.0,0.0,26,28,21,7
0,2022-09-01,4,3.0,0.0,12.0,0.0,26,128,56,72
0,2022-09-01,1,3.0,0.0,12.0,0.0,27,1,2,-1
0,2022-09-01,2,3.0,0.0,12.0,0.0,27,12,14,-2
0,2022-09-01,3,3.0,0.0,12.0,0.0,27,7,7,0
0,2022-09-01,4,3.0,0.0,12.0,0.0,27,33,25,8
0,2022-09-01,1,3.0,0.0,12.0,0.0,28,2,1,1
0,2022-09-01,2,3.0,0.0,12.0,0.0,28,15,28,-13
0,2022-09-01,3,3.0,0.0,12.0,0.0,28,20,20,0
0,2022-09-01,4,3.0,0.0,12.0,0.0,28,53,40,13
0,2022-09-01,1,3.0,0.0,12.0,0.0,29,1,2,-1
0,2022-09-01,2,3.0,0.0,12.0,0.0,29,32,52,-20
0,2022-09-01,3,3.0,0.0,12.0,0.0,29,15,10,5
